2.417425e-02 3.624602e+02 2.370688e+02 -1.689330e+02 -4.598393e+01  -2.641134e+02 -6.813623e+01 6.536619e+01 -1.704310e+02 1.704310e+02 
2.551171e-02 3.987305e+02 2.525959e+02 -1.800097e+02 -5.073353e+01  -2.849798e+02 -7.258659e+01 6.628878e+01 -1.808962e+02 1.808962e+02 
2.684916e-02 4.356403e+02 2.666779e+02 -1.897054e+02 -5.566699e+01  -3.058118e+02 -7.697218e+01 6.678503e+01 -1.905470e+02 1.905470e+02 
2.818662e-02 4.730669e+02 2.796721e+02 -1.983809e+02 -6.078223e+01  -3.265777e+02 -8.129133e+01 6.689027e+01 -1.995677e+02 1.995677e+02 
2.952408e-02 5.108460e+02 2.914398e+02 -2.058970e+02 -6.607518e+01  -3.472414e+02 -8.554309e+01 6.664605e+01 -2.078931e+02 2.078931e+02 
3.086154e-02 5.488577e+02 3.019659e+02 -2.122411e+02 -7.153769e+01  -3.677814e+02 -8.972610e+01 6.610297e+01 -2.155184e+02 2.155184e+02 
3.219900e-02 5.869904e+02 3.119014e+02 -2.180602e+02 -7.716886e+01  -3.881829e+02 -9.384050e+01 6.528946e+01 -2.227717e+02 2.227717e+02 
3.353645e-02 6.251467e+02 3.204313e+02 -2.225472e+02 -8.295600e+01  -4.084197e+02 -9.788474e+01 6.424851e+01 -2.292482e+02 2.292482e+02 
3.487391e-02 6.632584e+02 3.288724e+02 -2.270146e+02 -8.890379e+01  -4.284991e+02 -1.018588e+02 6.300373e+01 -2.356043e+02 2.356043e+02 
3.621137e-02 7.012727e+02 3.365318e+02 -2.307711e+02 -9.499687e+01  -4.484068e+02 -1.057598e+02 6.158271e+01 -2.414954e+02 2.414954e+02 
3.754883e-02 7.391380e+02 3.429881e+02 -2.333973e+02 -1.012415e+02  -4.681407e+02 -1.095910e+02 6.000571e+01 -2.467109e+02 2.467109e+02 
3.888629e-02 7.768253e+02 3.508911e+02 -2.375445e+02 -1.076217e+02  -4.876968e+02 -1.133488e+02 5.827604e+01 -2.525741e+02 2.525741e+02 
4.022375e-02 8.143265e+02 3.576258e+02 -2.406146e+02 -1.141385e+02  -5.070713e+02 -1.170327e+02 5.641825e+01 -2.577764e+02 2.577764e+02 
4.156120e-02 8.516409e+02 3.636743e+02 -2.430337e+02 -1.207775e+02  -5.262457e+02 -1.206382e+02 5.441579e+01 -2.625585e+02 2.625585e+02 
4.289866e-02 8.887680e+02 3.716890e+02 -2.475164e+02 -1.275446e+02  -5.452500e+02 -1.241710e+02 5.227078e+01 -2.682444e+02 2.682444e+02 
4.423612e-02 9.257460e+02 3.787750e+02 -2.511495e+02 -1.344456e+02  -5.640567e+02 -1.276270e+02 4.997447e+01 -2.733884e+02 2.733884e+02 
4.557358e-02 9.625601e+02 3.851122e+02 -2.541088e+02 -1.414416e+02  -5.826763e+02 -1.310046e+02 4.752099e+01 -2.780798e+02 2.780798e+02 
4.691104e-02 9.992086e+02 3.942547e+02 -2.599448e+02 -1.485712e+02  -6.011023e+02 -1.343090e+02 4.490755e+01 -2.840938e+02 2.840938e+02 
4.824849e-02 1.035805e+03 4.027454e+02 -2.652112e+02 -1.557945e+02  -6.193316e+02 -1.375329e+02 4.208906e+01 -2.897053e+02 2.897053e+02 
4.958595e-02 1.072342e+03 4.105756e+02 -2.698929e+02 -1.631216e+02  -6.373560e+02 -1.406832e+02 3.904815e+01 -2.949118e+02 2.949118e+02 
5.092341e-02 1.108802e+03 4.205734e+02 -2.768189e+02 -1.705498e+02  -6.551628e+02 -1.437528e+02 3.579114e+01 -3.011237e+02 3.011237e+02 
5.226087e-02 1.145192e+03 4.301679e+02 -2.834236e+02 -1.780659e+02  -6.727430e+02 -1.467479e+02 3.230907e+01 -3.070642e+02 3.070642e+02 
5.359833e-02 1.181625e+03 4.392804e+02 -2.896094e+02 -1.856733e+02  -6.901053e+02 -1.496697e+02 2.855928e+01 -3.126953e+02 3.126953e+02 
5.493579e-02 1.218078e+03 4.495682e+02 -2.970534e+02 -1.933702e+02  -7.072223e+02 -1.525155e+02 2.452928e+01 -3.188498e+02 3.188498e+02 
5.627324e-02 1.254408e+03 4.596778e+02 -3.043855e+02 -2.011569e+02  -7.240940e+02 -1.552901e+02 2.026269e+01 -3.248508e+02 3.248508e+02 
